0.859375	0.046875	1.375
-0.28125	-0.015625	-1.703125
-0.578125	-0.140625	-1.25
1.09375	0.0	-0.03125
0.84375	-0.125	1.171875
0.515625	-0.4375	-0.796875
1.4375	-0.0625	-0.734375
0.5625	0.0	-1.734375
-0.34375	-0.03125	-0.625
-1.53125	0.0625	1.078125
-0.109375	0.015625	-0.96875
1.765625	0.0	-0.703125
-0.421875	0.5	1.078125
-1.28125	-0.0625	-1.75
-1.3125	-0.015625	1.59375
0.703125	0.0	-0.171875
-0.765625	-1.515625	0.90625
0.9375	-0.03125	-0.984375
1.5625	0.03125	0.921875
-0.8125	0.1875	-0.359375
1.71875	-0.015625	-0.15625
1.1875	0.0	1.390625
-1.46875	-0.296875	0.734375
-0.296875	0.03125	0.34375
0.78125	-0.015625	1.015625
-1.609375	-0.203125	1.921875
1.59375	0.03125	0.859375
1.8125	-0.015625	-0.46875
-0.765625	-0.03125	-1.3125
0.921875	-0.03125	0.4375
-1.671875	0.078125	-1.71875
-0.921875	-0.5	-1.0625
-1.828125	0.046875	-1.15625
1.90625	-0.0625	0.828125
1.84375	-0.015625	1.0625
-0.21875	0.28125	0.4375
-1.015625	-0.078125	-0.65625
0.1875	-0.015625	-1.75
0.140625	0.09375	1.0625
-0.75	-0.1875	1.03125
1.859375	-0.046875	-0.484375
-0.140625	0.015625	1.28125
1.9375	0.09375	0.640625
1.40625	0.09375	-0.0625
-0.578125	-0.046875	0.296875
-0.171875	0.078125	1.875
-1.671875	-0.0625	1.015625
-1.703125	0.03125	2.0
0.96875	0.328125	1.375
-1.59375	-0.109375	-1.625
-0.4375	-0.203125	-1.078125
0.296875	0.015625	1.546875
0.59375	0.0625	-0.078125
-1.9375	-0.046875	-0.484375
-1.984375	0.234375	0.625
-0.375	0.03125	1.375
-1.875	0.03125	0.765625
0.375	0.078125	-0.640625
1.71875	-0.015625	0.71875
-0.625	-0.1875	0.640625
